68121	Cabrera	6.6333333	-73.2
50124	Cabuyaro	4.2902778	-72.7905556
25123	Cachipay	5.2666667	-74.5666667
5125	Caicedo	6.45	-75.9666667
76122	Caicedonia	4.333659175	-75.83424568
70124	Caimito	8.8333333	-75.1666667
73124	Cajamarca	4.4166667	-75.5
19130	Cajibío	2.6666667	-76.6666667
25126	Cajicá	5	-74.05
13140	Calamar	10.25	-75
95015	Calamar	1.9597222	-72.6538889
63130	Calarcá	4.5325	-75.6436111
5129	Caldas	6.0833333	-75.6333333
15131	Caldas	5.55	-73.8833333
19137	Caldono	2.8333333	-76.4166667
68132	California	7.4166667	-72.85
76126	Calima (Darién)	3.9166667	-76.6666667
19142	Caloto	3.0833333	-76.3333333
76001	Calí	3.4372222	-76.5225
5134	Campamento	7.0833333	-75.25
8137	Campo de la Cruz	10.4166667	-74.9166667
41132	Campoalegre	2.6666667	-75.3333333
15135	Campohermoso	5.0833333	-73
23090	Canalete	8.6761111	-76.2041667
8141	Candelaria	10.5	-74.8333333
76130	Candelaria	3.4130556	-76.3511111
13160	Cantagallo	7.3791667	-73.9180556
27135	Cantón de San Pablo	5.3388889	-76.7313889
25148	Caparrapí	5.4166667	-74.5833333
68147	Capitanejo	6.6	-72.6333333
5142	Caracolí	6.4119444	-74.7605556
5145	Caramanta	5.5833333	-75.5833333
68152	Carcasí	6.8333333	-72.5
5147	Carepa	7.7663889	-76.6611111
73148	Carmen de Apicalá	4.15	-74.7333333
25154	Carmen de Carupa	5.3502778	-73.9052778
5148	Carmen de Viboral	6.085	-75.3386111
27150	Carmen del Darién (CURBARADÓ)	7.158	-76.971
5150	Carolina	6.8	-75.25
13001	Cartagena	10.3997222	-75.5144444
18150	Cartagena del Chairá	1.35	-74.84
76147	Cartago	4.7463889	-75.9116667
97161	Carurú	0.9166667	-70.7333333
73152	Casabianca	5.0833333	-75.1666667
50150	Castilla la Nueva	3.8	-73.5833333
5154	Caucasia	7.9166667	-75
5138	Cañasgordas	6.75	-76
68160	Cepita	6.8333333	-72.9166667
23162	Cereté	8.9166667	-76
15162	Cerinza	6	-72.9166667
68162	Cerrito	7	-72.5833333
47161	Cerro San Antonio	10.25	-74.8333333
52240	Chachaguí	1.359430539	-77.28366852
25168	Chaguaní	5	-74.65
70230	Chalán	9.5491667	-75.3161111
73168	Chaparral	3.75	-75.5833333
68167	Charalá	6.25	-73.0833333
68169	Charta	7.3	-72.9666667
5172	Chigorodó	7.6666667	-76.6666667
68176	Chima	6.4166667	-73.3333333
20175	Chimichagua	9.2577778	-73.8177778
23168	Chimá	9.0833333	-75.6333333
15172	Chinavita	5.25	-73.3333333
17174	Chinchiná	5	-75.6666667
54172	Chinácota	7.75	-72.55
23182	Chinú	9.0833333	-75.3333333
25178	Chipaque	4.5	-74.0833333
68179	Chipatá	6.1333333	-73.55
15176	Chiquinquirá	5.6333333	-73.75
20178	Chiriguaná	9.5	-73.4166667
15180	Chiscas	6.75	-72.3333333
15183	Chita	6.1666667	-72.4166667
54174	Chitagá	7.1666667	-72.5833333
15185	Chitaraque	6.0833333	-73.3666667
15187	Chivatá	5.5333333	-73.2666667
47170	Chivolo	10.0280556	-74.6436111
25181	Choachí	4.5833333	-73.9166667
25183	Chocontá	5.1666667	-73.6666667
85015	Chámeza	5	-72.75
25175	Chía	4.9166667	-74.05
15232	Chíquiza	5.6083333	-73.4886111
15236	Chívor	4.8855556	-73.3688889
13188	Cicuco	9.4166667	-74.7333333
68190	Cimitarra	6.3161111	-73.9505556
63190	Circasia	4.6166667	-75.6333333
5190	Cisneros	6.5833333	-75.0833333
15189	Ciénaga	5.4666667	-73.25
47189	Ciénaga	10.8333333	-74.0833333
23189	Ciénaga de Oro	8.8333333	-75.6666667
13222	Clemencia	10.5891667	-75.3341667
5197	Cocorná	6	-75
73200	Coello	4.3333333	-74.9166667
25200	Cogua	5.15	-73.9666667
41206	Colombia	2.5	-75.75
70204	Colosó (Ricaurte)	9.4966667	-75.3555556
86219	Colón	1.1936111	-76.9769444
52203	Colón (Génova)	1.5833333	-77
5206	Concepción	6.4166667	-75.25
68207	Concepción	6.9166667	-72.5
5209	Concordia	6.0833333	-75.9166667
47205	Concordia	9.8402778	-74.4447222
27205	Condoto	5.1666667	-76.5
68209	Confines	6.4166667	-73.1666667
52207	Consaca	1.208406497	-77.46322632
52210	Contadero	0.9166667	-77.5333333
68211	Contratación	6.3333333	-73.4166667
54206	Convención	8.8333333	-73.2
5212	Copacabana	6.3333333	-75.5
15212	Coper	5.4333333	-74.0333333
63212	Cordobá	4.3905556	-75.6888889
19212	Corinto	3.1666667	-76.2
68217	Coromoro	6.3333333	-73
70215	Corozal	9.3333333	-75.25
15215	Corrales	5.8666667	-72.8333333
25214	Cota	4.8333333	-74.1333333
23300	Cotorra	9.05	-75.8
15218	Covarachía	6.5833333	-72.7
70221	Coveñas	9.4166667	-75.7
73217	Coyaima	3.8333333	-75.0833333
81220	Cravo Norte	6.3030556	-70.2016667
52224	Cuaspud (Carlosama)	0.8658333	-77.7294444
50223	Cubarral	3.7713889	-73.8377778
15223	Cubará	7.0411111	-72.0608333
15224	Cucaita	5.5333333	-73.4666667
25224	Cucunubá	5.25	-73.75
54223	Cucutilla	7.5	-72.75
15226	Cuitiva	5.65	-72.9166667
50226	Cumaral	4.25	-73.3333333
99773	Cumaribo	4.4444444	-69.8002778
52227	Cumbal	0.9166667	-77.9166667
52233	Cumbitara	1.6533333	-77.5833333
73226	Cunday	4.0833333	-74.6666667
18205	Curillo	1.0352778	-75.9247222
68229	Curití	6.6666667	-73
20228	Curumaní	9.2041667	-73.5486111
5120	Cáceres	7.6666667	-75.3333333
54128	Cáchira	7.75	-73.1666667
54125	Cácota	7.25	-72.5833333
25151	Cáqueza	4.45	-73.95
27160	Cértegui	5.4	-76.6
15204	Cómbita	5.75	-73.25
13212	Córdoba	9.5	-74.9166667
52215	Córdoba	0.7833333	-77.3333333
54001	Cúcuta	7.8833333	-72.5052778
5234	Dabeiba	7	-76.25
76233	Dagua	3.6602778	-76.6927778
44090	Dibulla	11.2722222	-73.3055556
44098	Distracción	10.8977778	-72.8869444
73236	Dolores	3.6666667	-74.75
5237	Don Matías	6.5	-75.3333333
66170	Dos Quebradas	4.8347222	-75.6725
15238	Duitama	5.8269444	-73.0202778
54239	Durania	7.75	-72.6333333
5240	Ebéjico	6.3333333	-75.75
5250	El Bagre	7.5941667	-74.8119444
47245	El Banco	9.0455556	-73.9747222
76246	El Cairo	4.75	-76.25
50245	El Calvario	4.4166667	-73.6666667
54245	El Carmen	8.75	-73.3333333
68235	El Carmen	"6,698"	-73.511
27245	El Carmen de Atrato		
13244	El Carmen de Bolívar	9.75	-75.1666667
50251	El Castillo	3.5680556	-73.7838889
76248	El Cerrito	3.6666667	-76.1666667
52250	El Charco	2.3333333	-78.35
15244	El Cocuy	6.4166667	-72.4166667
25245	El Colegio	4.5833333	-74.45
20238	El Copey	10.1505556	-73.965
18247	El Doncello	1.6794444	-75.2791667
50270	El Dorado	2.7791667	-72.8719444
76250	El Dovio	4.5	-76.25
15248	El Espino	6.5833333	-72.4166667
68245	El Guacamayo	6.3333333	-73.4666667
13248	El Guamo	10.0833333	-74.9166667
44110	El Molino	10.6533333	-72.9241667
20250	El Paso	9.6622222	-73.7519444
18256	El Paujil	1.564	-75.332
52254	El Peñol	1.4333333	-77.4333333
13268	El Peñon	8.9833333	-73.95
68250	El Peñon	6.55	-72.8333333
25258	El Peñón	5.3333333	-74.3333333
47258	El Piñon	10.3333333	-74.6666667
68255	El Playón	7.4766667	-73.2080556
95025	El Retorno	2.3305556	-72.6277778
47268	El Retén	10.6166667	-74.2666667
70233	El Roble	9.1	-75.2
25260	El Rosal	4.85	-74.2666667
52256	El Rosario	1.8333333	-77.3333333
52258	El Tablón de Gómez		
19256	El Tambo	2.5	-77
52260	El Tambo	1.4	-77.3333333
54250	El Tarra	8.5847222	-73.0883333
54261	El Zulia	7.9355556	-72.605
76243	El Águila	4.9166667	-76.0833333
41244	Elías	2.0833333	-76
68264	Encino	6.1666667	-73
68266	Enciso	6.75	-72.6333333
5264	Entrerríos	6.5833333	-75.5833333
5266	Envigado	6.1730556	-75.5638889
73268	Espinal	4.2	-74.8333333
25269	Facatativá	4.8166667	-74.3666667
73270	Falan	5.1333333	-75
17272	Filadelfia	5.3	-75.6
63272	Filandia	4.6666667	-75.6333333
15272	Firavitoba	5.75	-72.9666667
73275	Flandes	4.25	-74.8333333
18001	Florencia	1.6175	-75.6175
19290	Florencia	1.6944444	-77.0758333
15276	Floresta	5.9166667	-72.9166667
76275	Florida	3.3275	-76.2386111
68276	Floridablanca	7.0647222	-73.0897222
68271	Florián	5.8047222	-73.9741667
44279	Fonseca	10.8333333	-72.8333333
81300	Fortúl	6.7461111	-71.8566667
25281	Fosca	4.3333333	-73.9166667
52520	Francisco Pizarro	2.1019444	-78.7216667
5282	Fredonia	5.9166667	-75.6666667
73283	Fresno	5.1666667	-75.0833333
5284	Frontino	6.6666667	-76.3333333
50287	Fuente de Oro	3.4594444	-73.6127778
47288	Fundación	10.4166667	-73.9166667
52287	Funes	0.95	-77.3333333
25286	Funza	4.7833333	-74.2
25290	Fusagasugá	4.4166667	-74.4
25279	Fómeque	4.5833333	-73.8333333
25288	Fúquene	5.4166667	-73.8
25293	Gachalá	4.6666667	-73.5
25295	Gachancipá	5.0833333	-73.8833333
15293	Gachantivá	5.75	-73.5
25297	Gachetá	4.9166667	-73.6666667
8296	Galapa	10.9166667	-74.8333333
70235	Galeras (Nueva Granada)	9.1630556	-75.0525
68296	Galán	6.7	-73.3
25299	Gama	4.75	-73.6
20295	Gamarra	8.3333333	-73.6666667
15299	Garagoa	5.1333333	-73.3
41298	Garzón	2.25	-75.5833333
41306	Gigante	2.5	-75.5
76306	Ginebra	3.75	-76.1666667
5306	Giraldo	6.6666667	-75.9166667
25307	Girardot	4.3030556	-74.8008333
5308	Girardota	6.4166667	-75.45
68306	Girón	7.0708333	-73.1730556
20310	Gonzalez	8.4	-73.3333333
54313	Gramalote	7.9166667	-72.75
5313	Granada	6.1666667	-75.1333333
25312	Granada	5.0666667	-74.5666667
50313	Granada	3.5386111	-73.7005556
68318	Guaca	7	-72.7666667
15317	Guacamayas	6.5	-72.5
76318	Guacarí	3.7694444	-76.3380556
52699	Guachavés	1.2247222	-77.68
19300	Guachené	3.1333333	-76.3833333
25317	Guachetá	5.4166667	-73.7
52317	Guachucal	1	-77.75
5315	Guadalupe	6.8175	-75.2441667
41319	Guadalupe	2.0833333	-75.6666667
68320	Guadalupe	6.3	-73.3333333
25320	Guaduas	5.25	-74.6666667
52320	Guaitarilla	1.15	-77.5
52323	Gualmatán	0.8333333	-77.5833333
47318	Guamal	9.25	-74.1666667
50318	Guamal	3.9166667	-74
73319	Guamo	4.0833333	-74.9166667
68322	Guapota	6.3833333	-73.25
19318	Guapí	2.4166667	-77.6
70265	Guaranda	8.4697222	-75.5383333
5318	Guarne	6.25	-75.4166667
25322	Guasca	4.8333333	-73.8333333
5321	Guatapé	6.25	-75.1666667
25324	Guataquí	4.5833333	-74.8
25326	Guatavita	4.9666667	-73.75
15322	Guateque	5.0833333	-73.5
68324	Guavatá	6	-73.65
25328	Guayabal de Siquima	4.8813889	-74.4702778
25335	Guayabetal	4.2163889	-73.8133333
15325	Guayatá	5	-73.5
68327	Guepsa	6.0833333	-73.5
15332	Guicán	6.75	-72.1666667
25339	Gutiérrez	4.25	-74
66318	Guática	5.3333333	-75.8333333
68298	Gámbita	6	-73.25
15296	Gámeza	5.85	-72.75
63302	Génova	4.25	-75.6666667
